COMPANY 1,TICKER,# OF SHARES,PRICE (8/24/2017),CITY,PURCHASE DATE,REGION,CEO,EMPLOYEES
Kraft Heinz ,KHC,325634818,$82.80 ,"Chicago, IL",27/9/05,Central,Bernard Hees (2015-),"41,000 (2017)"
Wells Fargo ,WFC,467987270,$52.16 ,"San Francisco, CA",7/7/02,West,"Timothy J. Sloan (Oct 12, 2016-)",
Apple Inc. ,AAPL,130191960,$159.27 ,"Cupertino, CA",23/9/06,West,Tim Cook,
The Coca Cola Company ,KO,400000000,$45.41 ,"Atlanta, GA",10/12/03,Southeast,"James Quincey (May 1, 2017-)",
American Express Co ,AXP,151610700,$85.36 ,New York City,2/6/13,Northeast,Kenneth I. Chenault (Jan 2001-),
International Bus. Machines ,IBM,54084673,$142.94 ,"Armonk, NY",7/5/03,Northeast,Ginny Rometty,
Phillips 66 ,PSX,80689892,$83.87 ,"Houston, TX",30/2/2010,South,"Greg C. Garland (Apr 30, 2012-)",
U.S. Bancorp ,USB,85063167,$51.85 ,"Minneapolis, MN",22/5/04,Central,"Richard K. Davis (Dec 12, 2006-)",
CHARTER COMM-A ,CHTR,9443491,$389.23 ,"Stamford, CT",29/3/06,Northeast,Thomas Rutledge,
Moody's Corp ,MCO,24669778,$132.20 ,"New York City, NY",4/10/03,Northeast,Raymond W. McDaniel Jr.,
Bank of New York ,BK,50229588,$52.79 ,"New York City, NY",5/7/00,Northeast,,
Goldman Sachs Group ,GS,10959519,$222.99 ,"New York City, NY",2/11/13,Northeast,Lloyd Blankfein (Jun 2006-),
Southwest Airlines ,LUV,47659456,$50.71 ,"Dallas, TX",16/5/09,South,"Gary C. Kelly (Jul 15, 2008-)",
Delta Air Lines ,DAL,53110395,$45.21 ,"Atlanta, GA",16/7/09,Southeast,"Edward H. Bastian (May 2, 2016-)",
DaVita Inc. ,DVA,38565570,$56.94 ,"Denver, CO",10/4/03,West,Kent J Thiry (Oct 1999-),"65,000 (2016)"
General Motors ,GM,60000000,$35.52 ,"Detroit, MI",5/2/06,Central,Mary T. Barra,
AMERICAN AIRLINES ,AAL,47000000,$42.92 ,"Fort Worth, TX",13/4/16,South,Doug Parker,
"UNITED CONTINENTAL HOLDINGS, Inc. ",UAL,28211563,$61.48 ,"Chicago, IL",27/7/03,Central,"Oscar Munoz (Sep 8, 2015-)","88,000 (2016)"
The Liberty SiriusXM Group ,LSXMA,31090985,$43.37 ,"Englewood, CO",2/10/03,West,Greg Maffei (Feb 2006-),
Verisign Inc. ,VRSN,12952745,$101.50 ,"Reston, VA",2/8/06,East,D. James Bidzos (Aug 2011-),1019
Visa Inc. ,V,10562460,$103.22 ,"Foster City, CA",25/4/05,West,"Alfred F Kelly Jr (Dec 1, 2016-)",
USG CORPORATION ,USG,39002016,$26.42 ,"Chicago, IL",1/11/09,Central,"James S Metcalf (Jan 1, 2011-)",
Monsanto Company ,MON,8041784,$116.68 ,"St. Louis, MO",13/6/13,Central,Hugh Grant,
M&T Bank Corp. ,MTB,5382040,$152.83 ,"Buffalo, NY",20/12/07,Northeast,Robert G. Wilmers,
SIRIUS XM HLDGS ,SIRI,137915729,$5.58 ,"New York City, NY",2/3/10,Northeast,James E. Meyer,
Axalta Coating Systems ,AXTA,23324000,$29.53 ,"Philadelphia, PA",7/11/14,Northeast,"Charles W. Shaver (Feb 1, 2013-)",12650
LIBERTY GLOBAL -A- ,LBTYA,20180897,$33.53 ,"London, United Kingdom",7/5/04,Europe,Lutz Sch端ler,"47,000 (2016)"
Mastercard Inc. ,MA,4934756,$132.96 ,"Purchase, NY",29/11/00,Northeast,"Ajaypal Banga (Jul 1, 2010-)",
Costco Co. ,COST,4333363,$151.33 ,"Issaquah, WA",4/8/10,Northwest,"W. Craig Jelinek (Jan 1, 2012-)",
The Liberty SiriusXM Group ,LSXMA,14860360,$43.37 ,"Englewood, CO",14/10/06,West,Greg Maffei (Feb 2006-),
Synchrony Financial ,SYF,17463000,$30.46 ,"Stamford, CT",14/1/12,Northeast,Margaret M. Keane (Feb 2014-),"15,000 (2016)"
Restaurant Brands ,QSR,8438225,$61.58 ,"Oakville, Canada",5/23/11,Canada,"Daniel Schwartz (Dec 12, 2014-)","450,000"
Torchmark Corp. ,TMK,6353727,$77.10 ,"McKinney, TX",5/1/05,South,Frank M Svoboda,"2,360"
STORE Capital ,STOR,18621674,$24.82 ,"Scottsdale, AZ",2/6/00,Southwest,Chris Volk,
LIBERTY GLOBAL -C- ,LBTYK,7346968,$32.60 ,"London, United Kingdom",8/10/16,Europe,Lutz Sch端ler,"47,000 (2016)"
SANOFI ,SNY,3905875,$48.43 ,"Paris, France",1/16/04,Europe,"Olivier Brandicourt (Apr 2, 2015-)","110,000 (2016)"
VERISK ANLYTCS-A ,VRSK,1563434,$80.26 ,"Jersey City, NJ",13/11/02,Northeast,Scott G. Stephenson,
Wal-Mart Stores ,WMT,1393513,$78.34 ,"Bentonville, AR",2/6/05,South,Doug McMillon,
Liberty LiLAC ,LILA,2714854,$25.84 ,"London, United Kingdom",23/7/11,Europe,Lutz Sch端ler,"47,000 (2016)"
Graham Holdings Company ,GHC,107575,$581.50 ,"Arlington, Virginia",3/6/14,East,Donald E. Graham (Sep 2000-),"11,500 (2015)"
Johnson & Johnson ,JNJ,327100,$132.89 ,"New Brunswick, NJ",1/3/03,Northeast,"Alex Gorsky (Apr 26, 2012-)",
LIBERTY GLOBAL ,LILAK,1284020,$25.50 ,"London, United Kingdom",20/7/14,Europe,Lutz Sch端ler,"47,000 (2016)"
Procter & Gamble ,PG,315400,$92.27 ,"Cincinnati, OH",18/11/03,Central,"David S. Taylor (Nov 1, 2015-)",
Mondelez International ,MDLZ,578000,$41.88 ,"East Hanover, NJ",26/3/10,Northeast,Irene Rosenfeld (Jun 2006-),
"WABCO HOLDINGS, Inc. ",WBC,63195,$138.69 ,"Rochester Hills, MI",12/6/01,Central,Jacques Esculier,"11,000"
United Parcel Service ,UPS,59400,$113.35 ,"Atlanta, GA",9/9/12,Southeast,"David P. Abney (Sep 1, 2014-)",
Verizon Communications ,VZ,928,$48.31 ,"New York City, NY",10/9/02,Northeast,Lowell C. McAdam,
